displacement ,force
2.93E-06,0.79244
5.86E-06,1.5912
8.78E-06,2.3962
1.17E-05,3.2075
1.46E-05,4.0251
1.76E-05,4.8491
2.05E-05,5.6795
2.34E-05,6.5162
2.63E-05,7.3593
2.93E-05,8.2088
3.51E-05,9.9271
4.10E-05,11.671
4.97E-05,14.336
5.85E-05,17.06
6.43E-05,18.908
7.02E-05,20.783
7.89E-05,23.646
8.77E-05,26.568
9.35E-05,28.55
9.93E-05,30.56
1.08E-04,33.624
1.17E-04,36.751
1.23E-04,38.869
1.29E-04,41.016
1.37E-04,44.288
1.46E-04,47.623
1.52E-04,49.881
1.58E-04,52.168
1.66E-04,55.652
1.75E-04,59.2
1.81E-04,61.6
1.87E-04,64.032
1.96E-04,67.732
2.04E-04,71.498
2.10E-04,74.043
2.16E-04,76.622
2.25E-04,80.543
2.33E-04,84.532
2.39E-04,87.226
2.45E-04,89.955
2.54E-04,94.102
2.62E-04,98.317
2.68E-04,101.16
2.74E-04,104.05
2.83E-04,108.42
2.92E-04,112.87
2.97E-04,115.87
3.03E-04,118.91
3.12E-04,123.52
3.21E-04,128.2
3.27E-04,131.36
3.32E-04,134.56
3.41E-04,139.41
3.50E-04,144.34
3.56E-04,147.65
3.62E-04,151.02
3.70E-04,156.11
3.79E-04,161.28
3.85E-04,164.76
3.91E-04,168.29
3.99E-04,173.63
4.08E-04,179.05
4.14E-04,182.7
4.20E-04,186.4
4.29E-04,191.99
4.38E-04,197.67
4.43E-04,201.48
4.49E-04,205.35
4.58E-04,211.2
4.67E-04,217.14
4.73E-04,221.12
4.79E-04,225.17
4.88E-04,231.28
4.96E-04,237.48
5.02E-04,241.64
5.08E-04,245.86
5.17E-04,252.23
5.29E-04,255.84
5.34E-04,258.9
5.40E-04,261.87
5.47E-04,264.17
5.56E-04,270.45
5.63E-04,274.15
5.73E-04,265.82
5.95E-04,256.48
6.10E-04,255.01
6.12E-04,253.63
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
