epsilon,C,mean_R2,mean_MAPE_percent
0.05,3.0,-4.88772482871547,4.806098063354849
0.04,3.0,-4.984714915637315,4.799294986482236
0.03,3.0,-4.997227539447119,4.7480207586270025
0.02,3.0,-5.032778101760305,4.688324584949575
0.01,3.0,-5.144153219281657,4.648251682725705
0.05,2.0,-6.364007230091295,5.231439979056439
0.04,2.0,-6.453179582427135,5.264119663964264
0.03,2.0,-6.562798661509025,5.267814536229084
0.01,2.0,-6.607768434978986,5.175344071109004
0.02,2.0,-6.6190984544120255,5.247517296892032
0.05,1.0,-10.579123994749326,6.454442518729271
0.04,1.0,-10.57977969471494,6.424253345990643
0.03,1.0,-10.622257319676672,6.400398604940236
0.02,1.0,-10.732858744773708,6.394133230915785
0.01,1.0,-10.75723627363604,6.391347850910426
0.05,0.7,-11.746188837991083,7.082421788667714
0.03,0.7,-11.779844301694808,7.034600688044792
0.04,0.7,-11.784420482381682,7.0371366541022855
0.02,0.7,-11.790102237849835,6.989569780061555
0.01,0.7,-11.798032369128272,6.94590968780777
0.01,0.1,-18.76842837931526,11.32773695127454
0.02,0.1,-18.963985679917656,11.35264747014836
0.03,0.1,-19.12320941390624,11.38450802320141
0.05,0.1,-19.171088739065468,11.524950352723215
0.04,0.1,-19.26685653327622,11.447752794941746
